fn,unit,signal,hint,pinobj,comments
hw,-,-,rt106x,seekfree_art,
led,1,-,-,AD_B0_09,
led,2,-,-,AD_B0_10,
led,3,-,-,AD_B0_11,
led,4,-,-,B0_11,
key,1,-,-,WAKEUP,
pin,-,CN2_49,-,SD_B1_03,
pin,-,CN2_51,-,SD_B1_02,
pin,-,CN2_52,-,SD_B1_04,
pin,-,CN2_53,-,SD_B1_05,
pin,-,CN3_4,-,AD_B0_03,
pin,-,CN3_8,-,AD_B0_02,
pin,-,CN3_13,-,AD_B1_01,
pin,-,CN3_15,-,AD_B1_00,
pin,-,CN3_26,-,AD_B0_08,
pin,-,CN3_28,-,AD_B0_09,
pin,-,CN3_47,-,SD_B0_06,
adc,-,A0,1,AD_B1_00,
adc,-,A1,1,AD_B0_15,
adc,-,A2,1,AD_B1_06,
adc,-,A3,1,AD_B1_07,
adc,-,A4,1,AD_B1_11,
adc,-,A5,1,AD_B1_12,
pwm,-,CH1,f2.a0,B0_06,
pwm,-,CH2,f2.b0,B0_07,
pwm,-,CH3,f2.a1,B0_08,
pwm,-,CH4,f2.b1,B0_09,
pwm,-,CH5,f2.a2,AD_B0_12,
pwm,-,CH6,f2.b2,AD_B0_13,
uart,1,TXD,-,AD_B0_06,
uart,1,RXD,-,AD_B0_07,
uart,3,TXD,-,B0_08,
uart,3,RXD,-,B0_09,
i2c,1,SDA,-,AD_B0_13,
i2c,1,SCL,-,AD_B0_12,
spi,3,SCK,-,AD_B0_00,
spi,3,PCS0,-,AD_B0_03,
spi,3,SDO,-,AD_B0_01,
spi,3,SDI,-,AD_B0_02,
xbar,-,CN2_47,q2.2,EMC_40,
xbar,-,CN2_27,q2.3,EMC_41,
